date,amount,category,description
05-02-2025,2000,Income,Freelance Web Design
08-02-2025,120,Expense,Grocery shopping
12-02-2025,450,Expense,Electricity bill
20-02-2025,300,Income,Gift from uncle
01-03-2025,2500,Income,Salary
05-03-2025,200,Expense,New headphones
10-03-2025,100,Expense,Fast food
15-03-2025,150,Expense,Books
22-03-2025,300,Income,Side project
02-04-2025,2600,Income,Salary
04-04-2025,180,Expense,Restaurant
09-04-2025,220,Expense,Mobile recharge
16-04-2025,400,Expense,Clothes
21-04-2025,500,Income,Freelance gig
03-05-2025,2700,Income,Salary
05-05-2025,300,Expense,Grocery shopping
12-05-2025,120,Expense,Cinema night
18-05-2025,350,Expense,Medical
26-05-2025,400,Income,Online tutoring
01-06-2025,2800,Income,Salary
06-06-2025,250,Expense,Petrol
11-06-2025,130,Expense,Snacks
15-06-2025,200,Expense,Gifts
25-06-2025,450,Income,Freelance article
02-07-2025,2900,Income,Salary
07-07-2025,100,Expense,Coffee
13-07-2025,160,Expense,Streaming subscription
19-07-2025,300,Expense,Internet bill
22-07-2025,600,Income,Side business
03-02-2025,475,Expense,Gym subscription
10-02-2025,2300,Income,Part-time job payment
17-02-2025,180,Expense,Snacks & coffee
22-02-2025,350,Expense,Internet recharge
28-02-2025,400,Income,Sold old phone
01-03-2025,200,Expense,Books for college
07-03-2025,2600,Income,Salary
09-03-2025,90,Expense,Auto fare
15-03-2025,120,Expense,Fast food
21-03-2025,800,Income,Stock dividend
27-03-2025,150,Expense,Movie & snacks
03-04-2025,120,Expense,Electric bill
10-04-2025,3100,Income,Salary + bonus
16-04-2025,270,Expense,Groceries
18-04-2025,250,Expense,Petrol
23-04-2025,600,Income,Tutoring
29-04-2025,130,Expense,Streaming services
05-05-2025,80,Expense,Bus tickets
11-05-2025,500,Income,Sold second-hand books
13-05-2025,100,Expense,Lunch out
20-05-2025,180,Expense,Medicine
26-05-2025,2800,Income,Salary
31-05-2025,300,Expense,Home cleaning
02-06-2025,750,Income,Freelancing project
08-06-2025,250,Expense,Clothing
12-06-2025,135,Expense,Coffee & snacks
18-06-2025,2700,Income,Salary
20-06-2025,160,Expense,Online subscription
28-06-2025,420,Expense,Mini trip
01-07-2025,100,Expense,Ice cream treat
05-07-2025,3050,Income,Salary + bonus
08-07-2025,90,Expense,Commuting fare
15-07-2025,500,Income,Won quiz contest
19-07-2025,180,Expense,Gadgets accessories
24-07-2025,350,Expense,Petrol



